date,home,away,home_fin,away_fin,W,L,div_W,div_L,spread,status,OU,money
2017-10-17,CLE,BOS,102,99,1,0,0,0,-4.5,Un,216,-185
2017-10-17,GSW,HOU,121,122,0,1,0,0,-9.5,Ov,230,-440
2017-10-18,BOS,MIL,100,108,0,2,0,0,-1.5,Ov,203,-120
2017-10-18,DAL,ATL,111,117,0,1,0,0,-5.5,Ov,198,-210
2017-10-18,DET,CHA,102,90,1,0,0,0,-3,Un,202,-140
2017-10-18,IND,BKN,140,131,1,0,0,0,-3,Ov,216,-154
2017-10-18,MEM,NOR,103,91,1,0,1,0,-2,Un,204,-127
2017-10-18,ORL,MIA,116,109,1,0,1,0,3.5,Ov,205,146
2017-10-18,PHO,POR,76,124,0,1,0,0,2.5,Un,219,123
2017-10-18,SAC,HOU,100,105,0,1,0,0,7,Un,216,260
2017-10-18,SAS,MIN,107,99,1,0,0,0,-1,Ov,203,-113
2017-10-18,UTA,DEN,106,96,1,0,1,0,-2.5,Un,204,-137
2017-10-18,WAS,PHI,120,115,1,0,0,0,-6.5,Ov,218,-285
2017-10-19,LAL,LAC,92,108,0,1,0,1,6.5,Un,218,210
2017-10-19,OKC,NYK,105,84,1,0,0,0,-12,Un,215,-715
2017-10-19,TOR,CHI,117,100,1,0,0,0,-13.5,Ov,206,-1100
2017-10-20,BKN,ORL,126,121,1,1,0,0,-2,Ov,226,-125
2017-10-20,CHA,ATL,109,91,1,1,1,0,-4.5,Un,206,-177
2017-10-20,DAL,SAC,88,93,0,2,0,0,-6,Un,202,-227
2017-10-20,IND,POR,96,114,1,1,0,0,5.5,Un,218,191
2017-10-20,MIL,CLE,97,116,1,1,0,1,-1,Ov,209,-113
2017-10-20,MIN,UTA,100,97,1,1,1,0,-4.5,Pu,197,-182
2017-10-20,NOR,GSW,120,128,0,2,0,1,9,Ov,221,361
2017-10-20,PHI,BOS,92,102,0,2,0,1,-3,Un,216,-147
2017-10-20,PHO,LAL,130,132,0,2,0,1,-3.5,Ov,220,-163
2017-10-20,WAS,DET,115,111,2,0,0,0,-7,Ov,211,-270
2017-10-21,CHI,SAS,77,87,0,2,0,0,10.5,Un,201,446
2017-10-21,CLE,ORL,93,114,2,1,1,0,-11.5,Un,216,-750
2017-10-21,DEN,SAC,96,79,1,1,0,1,-12.5,Un,213,-800
2017-10-21,HOU,DAL,107,91,3,0,1,0,-11.5,Un,216,-750
2017-10-21,LAC,PHO,130,88,2,0,2,0,-13.5,Un,219,-1200
2017-10-21,MEM,GSW,111,101,2,0,1,0,8.5,Un,213,314
2017-10-21,MIA,IND,112,108,1,1,0,1,-9.5,Ov,214,-432
2017-10-21,MIL,POR,113,110,2,1,0,1,-3,Ov,208,-150
2017-10-21,NYK,DET,107,111,0,2,0,0,1,Ov,204,104
2017-10-21,TOR,PHI,128,94,2,0,1,0,-9,Ov,218,-415
2017-10-21,UTA,OKC,96,87,2,1,2,1,3.5,Un,200,156
2017-10-22,BKN,ATL,116,104,2,1,0,0,-1,Pu,220,-113
2017-10-22,LAL,NOR,112,119,1,2,1,1,5,Ov,222,177
2017-10-22,OKC,MIN,113,115,1,2,0,2,-4,Ov,211,-177
2017-10-23,DAL,GSW,103,133,0,4,0,1,13,Ov,216,828
2017-10-23,DEN,WAS,104,109,1,2,0,1,-5,Un,225,-190
2017-10-23,DET,PHI,86,97,2,2,0,0,-3.5,Un,214,-156
2017-10-23,HOU,MEM,90,98,3,1,1,1,-8,Un,213,-333
2017-10-23,MIA,ATL,104,93,2,1,1,1,-11,Un,205,-625
2017-10-23,MIL,CHA,103,94,3,1,0,1,-6.5,Un,203,-255
2017-10-23,PHO,SAC,117,115,1,3,1,2,2.5,Ov,206,125
2017-10-23,SAS,TOR,101,97,3,0,0,0,-2.5,Un,201,-140
2017-10-24,BOS,NYK,110,89,2,2,2,0,-7,Un,208,-270
2017-10-24,CLE,CHI,119,112,3,1,2,0,-15,Ov,205,-1850
2017-10-24,LAC,UTA,102,84,3,0,2,0,-5,Un,196,-195
2017-10-24,MIN,IND,107,130,2,2,2,0,-10.5,Ov,218,-525
2017-10-24,ORL,BKN,125,121,3,1,1,0,-4.5,Ov,228,-188
2017-10-24,POR,NOR,103,93,3,1,0,0,-4.5,Un,216,-189
2017-10-25,BKN,CLE,112,107,3,2,0,0,8,Un,224,264
2017-10-25,CHA,DEN,110,93,2,2,1,0,2,Un,211,116
2017-10-25,DAL,MEM,103,94,1,4,1,1,3,Pu,197,141
2017-10-25,DET,MIN,122,101,3,2,0,0,-3,Ov,209,-139
2017-10-25,GSW,TOR,117,112,3,2,0,0,-12.5,Un,230,-940
2017-10-25,LAL,WAS,102,99,2,2,1,1,5.5,Un,228,197
2017-10-25,MIA,SAS,100,117,2,2,1,1,3.5,Ov,196,142
2017-10-25,OKC,IND,114,96,2,2,0,2,-13,Un,217,-1000
2017-10-25,PHI,HOU,104,105,1,4,0,2,3,Un,221,138
2017-10-25,PHO,UTA,97,88,2,3,1,2,7.5,Un,204,260
2017-10-26,CHI,ATL,91,86,1,3,0,1,-2,Un,200,-128
2017-10-26,MEM,DAL,96,91,4,1,3,1,-8,Un,195,-302
2017-10-26,MIL,BOS,89,96,3,2,0,1,-4.5,Un,206,-182
2017-10-26,POR,LAC,103,104,3,2,0,0,-2,Un,216,-123
2017-10-26,SAC,NOR,106,114,1,4,0,1,-1,Ov,204,-108
2017-10-27,ATL,DEN,100,105,1,5,0,2,7,Un,210,231
2017-10-27,CHA,HOU,93,109,2,3,1,0,3,Un,214,127
2017-10-27,GSW,WAS,120,117,4,2,0,0,-12,Ov,230,-755
2017-10-27,LAL,TOR,92,101,2,3,1,1,6,Un,221,201
2017-10-27,MIN,OKC,119,116,3,3,3,0,2,Ov,218,118
2017-10-27,NYK,BKN,107,86,1,3,1,1,-2,Un,222,-135
2017-10-27,ORL,SAS,114,87,4,1,1,0,5.5,Un,207,177
2017-10-28,CHI,OKC,69,101,1,4,0,1,8.5,Un,204,295
2017-10-28,DAL,PHI,110,112,1,6,1,2,1,Ov,205,104
2017-10-28,LAC,DET,87,95,4,1,2,0,-8.5,Un,205,-325
2017-10-28,MEM,HOU,103,89,5,1,4,1,-1.5,Un,203,-120
2017-10-28,MIA,BOS,90,96,2,3,1,1,1,Un,204,102
2017-10-28,NOR,CLE,123,101,3,3,0,1,2,Ov,220,120
2017-10-28,POR,PHO,114,107,4,2,0,0,-12,Ov,218,-700
2017-10-28,UTA,LAL,96,81,3,3,2,1,-11,Un,202,-550
2017-10-29,ATL,MIL,106,117,1,6,0,2,5.5,Ov,200,199
2017-10-29,BKN,DEN,111,124,3,4,0,1,5.5,Ov,222,186
2017-10-29,CHA,ORL,120,113,3,3,2,0,-4,Ov,210,-165
2017-10-29,CLE,NYK,95,114,3,4,2,0,-10.5,Un,212,-543
2017-10-29,GSW,DET,107,115,4,3,0,0,-14.5,Ov,221,-1420
2017-10-29,IND,SAS,97,94,3,3,0,0,6.5,Un,208,222
2017-10-29,SAC,WAS,83,110,1,5,0,1,7.5,Un,208,256
2017-10-30,BOS,SAS,108,94,5,2,2,0,-3.5,Ov,193,-166
2017-10-30,HOU,PHI,107,115,5,3,1,2,-7,Ov,215,-280
2017-10-30,LAC,GSW,113,141,4,2,2,1,6,Ov,223,208
2017-10-30,MEM,CHA,99,104,5,2,4,1,-5.5,Ov,194,-205
2017-10-30,MIA,MIN,122,125,2,4,1,1,3,Ov,216,132
2017-10-30,NOR,ORL,99,115,3,4,0,1,-7.5,Un,223,-300
2017-10-30,NYK,DEN,116,110,3,3,1,1,4.5,Ov,211,162
2017-10-30,POR,TOR,85,99,4,3,0,0,-4,Un,211,-170
2017-10-30,UTA,DAL,104,89,4,3,2,1,-8.5,Ov,190,-337
2017-10-31,BKN,PHO,114,122,3,5,0,1,-4.5,Ov,230,-185
2017-10-31,IND,SAC,101,83,4,3,0,0,-5.5,Un,206,-230
